ok;unknown error code;0x0000
undefined;undefined error;0x0001
not_implemented;not implemented;0x0002
ok_no_update;;0x0003
dont_notify;;0x0004
lib_time_limit_reached;library time limit reached;0x0005
command_not_found;command not found;0x0100
unable_to_bind_network_port;unable to bind network port;0x0101
no_network_port_available;no network port available;0x0102
client_invalid_id;invalid clientID;0x0200
client_nickname_inuse;nickname is already in use;0x0201
client_invalid_error_code;invalid error code;0x0202
client_protocol_limit_reached;max clients protocol limit reached;0x0203
client_invalid_type;invalid client type;0x0204
client_already_subscribed;already subscribed;0x0205
client_not_logged_in;not logged in;0x0206
client_could_not_validate_identity;could not validate client identity;0x0207
client_invalid_password;invalid loginname or password;0x0208
client_too_many_clones_connected;too many clones already connected;0x0209
client_version_outdated;client version outdated, please update;0x020a
client_is_online;client is online;0x020b
client_is_flooding;client is flooding;0x020c
client_hacked;client is modified;0x020d
client_cannot_verify_now;can not verify client at this moment;0x020e
client_login_not_permitted;client is not permitted to log in;0x020f
client_not_subscribed;client is not subscribed to the channel;0x0210
channel_invalid_id;invalid channelID;0x0300
channel_protocol_limit_reached;max channels protocol limit reached;0x0301
channel_already_in;already member of channel;0x0302
channel_name_inuse;channel name is already in use;0x0303
channel_not_empty;channel not empty;0x0304
channel_can_not_delete_default;can not delete default channel;0x0305
channel_default_require_permanent;default channel requires permanent;0x0306
channel_invalid_flags;invalid channel flags;0x0307
channel_parent_not_permanent;permanent channel can not be child of non permanent channel;0x0308
channel_maxclients_reached;channel maxclient reached;0x0309
channel_maxfamily_reached;channel maxfamily reached;0x030a
channel_invalid_order;invalid channel order;0x030b
channel_no_filetransfer_supported;channel does not support filetransfers;0x030c
channel_invalid_password;invalid channel password;0x030d
channel_is_private_channel;channel is private channel;0x030e
channel_invalid_security_hash;invalid security hash supplied by client;0x030f
server_invalid_id;invalid serverID;0x0400
server_running;server is running;0x0401
server_is_shutting_down;server is shutting down;0x0402
server_maxclients_reached;server maxclient reached;0x0403
server_invalid_password;invalid server password;0x0404
server_deployment_active;deployment active;0x0405
server_unable_to_stop_own_server;unable to stop own server in your connection class;0x0406
server_is_virtual;server is virtual;0x0407
server_wrong_machineid;server wrong machineID;0x0408
server_is_not_running;server is not running;0x0409
server_is_booting;server is booting up;0x040a
server_status_invalid;server got an invalid status for this operation;0x040b
server_modal_quit;server modal quit;0x040c
server_version_outdated;server version is too old for command;0x040d
database;database error;0x0500
database_empty_result;database empty result set;0x0501
database_duplicate_entry;database duplicate entry;0x0502
database_no_modifications;database no modifications;0x0503
database_constraint;database invalid constraint;0x0504
database_reinvoke;database reinvoke command;0x0505
parameter_quote;invalid quote;0x0600
parameter_invalid_count;invalid parameter count;0x0601
parameter_invalid;invalid parameter;0x0602
parameter_not_found;parameter not found;0x0603
parameter_convert;convert error;0x0604
parameter_invalid_size;invalid parameter size;0x0605
parameter_missing;missing required parameter;0x0606
parameter_checksum;invalid checksum;0x0607
vs_critical;virtual server got a critical error;0x0700
connection_lost;Connection lost;0x0701
not_connected;not connected;0x0702
no_cached_connection_info;no cached connection info;0x0703
currently_not_possible;currently not possible;0x0704
failed_connection_initialisation;failed connection initialization;0x0705
could_not_resolve_hostname;could not resolve hostname;0x0706
invalid_server_connection_handler_id;invalid server connection handler ID;0x0707
could_not_initialise_input_manager;could not initialize Input Manager;0x0708
clientlibrary_not_initialised;client library not initialized;0x0709
serverlibrary_not_initialised;server library not initialized;0x070a
whisper_too_many_targets;too many whisper targets;0x070b
whisper_no_targets;no whisper targets found;0x070c
file_invalid_name;invalid file name;0x0800
file_invalid_permissions;invalid file permissions;0x0801
file_already_exists;file already exists;0x0802
file_not_found;file not found;0x0803
file_io_error;file input/output error;0x0804
file_invalid_transfer_id;invalid file transfer ID;0x0805
file_invalid_path;invalid file path;0x0806
file_no_files_available;no files available;0x0807
file_overwrite_excludes_resume;overwrite excludes resume;0x0808
file_invalid_size;invalid file size;0x0809
file_already_in_use;file already in use;0x080a
file_could_not_open_connection;could not open file transfer connection;0x080b
file_no_space_left_on_device;no space left on device (disk full?);0x080c
file_exceeds_file_system_maximum_size;file exceeds file system's maximum file size;0x080d
file_transfer_connection_timeout;file transfer connection timeout;0x080e
file_connection_lost;lost file transfer connection;0x080f
file_exceeds_supplied_size;file exceeds supplied file size;0x0810
file_transfer_complete;file transfer complete;0x0811
file_transfer_canceled;file transfer canceled;0x0812
file_transfer_interrupted;file transfer interrupted;0x0813
file_transfer_server_quota_exceeded;file transfer server quota exceeded;0x0814
file_transfer_client_quota_exceeded;file transfer client quota exceeded;0x0815
file_transfer_reset;file transfer reset;0x0816
file_transfer_limit_reached;file transfer limit reached;0x0817
sound_preprocessor_disabled;preprocessor disabled;0x0900
sound_internal_preprocessor;internal preprocessor;0x0901
sound_internal_encoder;internal encoder;0x0902
sound_internal_playback;internal playback;0x0903
sound_no_capture_device_available;no capture device available;0x0904
sound_no_playback_device_available;no playback device available;0x0905
sound_could_not_open_capture_device;could not open capture device;0x0906
sound_could_not_open_playback_device;could not open playback device;0x0907
sound_handler_has_device;ServerConnectionHandler has a device registered;0x0908
sound_invalid_capture_device;invalid capture device;0x0909
sound_invalid_playback_device;invalid clayback device;0x090a
sound_invalid_wave;invalid wave file;0x090b
sound_unsupported_wave;wave file type not supported;0x090c
sound_open_wave;could not open wave file;0x090d
sound_internal_capture;internal capture;0x090e
sound_device_in_use;device still in use;0x090f
sound_device_already_registerred;device already registerred;0x0910
sound_unknown_device;device not registered/known;0x0911
sound_unsupported_frequency;unsupported frequency;0x0912
sound_invalid_channel_count;invalid channel count;0x0913
sound_read_wave;read error in wave;0x0914
sound_need_more_data;sound need more data;0x0915
